,"id, table_id",table_body,caption,references
28,S3.T1,endpoint name machin deltacpu01 ncsa delta supercomput deltagpu01 ncsa delta supercomput mydefconf alcf polari supercomput crnazur microsoft azur virtual machin appfltest macbook pro 2021 m1 chip,tabl i client endpoint inform,in thi section we present a use case that employ appflx to conduct feder learn with a group of five client to train a convolut neural network cnn with two convolut layer use the artifici partit mnist dataset 18 the mnist dataset is partit equal into five chunk as the local dataset of the five fl client two synchron fl algorithm fedavg 2 and fedavgm 14 are employ to train the model the fl train take 10 global commun round and each client perform 2 local epoch in each round with batch size 64 and local learn rate 001 local learn rate is decay by a factor of 0975 for each round and the server momentum for fedavgm is equal to 09 tabl i show the inform of five heterogen client endpoint notabl all the endpoint onli use the cpu for train the group member use the client configur page to regist their endpoint and upload data loader for their local dataset the group administr launch the fl experi by specifi the train hyperparamet in the server configur page
29,S3.T1,english hindi vietnames hateterm 56 19 23 target group 140 21 26 target individu 24 28 13,tabl 1 count of lexicon in the top three categori in the entiti tabl for english hindi and vietnames,we creat a similar entiti tabl for the target context to creat thi entiti tabl we ask two nativ speaker of hindi and vietnames to review a sampl of hate speech post in their respect languag and to identifi the hate target entiti use thi data and their experi with the context they creat the correspond entiti tabl for both languag we subsequ includ a lexicon of hate term in the hateterm column of the entiti tabl thi is the distinguish part of the pipelin for differ target context we can creat contextu relev hate post in the target context of our interest just by modifi the content of the entiti tabl tabl 1 show the statist of the entiti tabl in english hindi and vietnames our contextu entiti substitut method address a major limit of machinetransl hate speech data by infus structur and context into the translat result the ce method also proffer the divers properti to the synthet data gener we have shown that thi method outperform simpl machin translat and perform compar to model train use onli origin data or gener method howev sinc thi method is heavili reliant on a finit set of entiti in the entiti tabl we see no remark improv as more ce synthet data are gener for instanc our analysi of the entiti tabl in hindi and vietnames from tabl 1 show that the hindi entiti tabl have more target individu than vietnames led to a more divers synthet data gener the success of thi method is depend on the continu updat of the entiti tabl to account for domain drift and to improv the divers of the gener synthet data thi offer support to previou claim to includ context expert as part of effect hate speech detect and track project nkemelu et al 2022
30,S3.T2,s no machin translat contextu entiti substitut 1 thi ugli kike cunt keep show up on my timelin thi penisless bhagat singh keep show up on my timelin 2 angri bald dyke angri bald heejra,tabl 2 qualit differ between the synthet hatespeech data use machin translat and the synthet hatespeech data use contextu entiti adapt,the entiti replac step complet our pipelin for synthet gener hate post in the limit data context tabl 2 show how a machinetransl hate post differ from a machinetransl hate post with contextu entiti substitut in the first exampl in 2 we find that the word kike ha been transliter from latin to devanagari in contrast we find that the ce method ha the name of the person bhagat singh refer to as penisless and is contextu relev in the indian domain indian freedom fighter in the second exampl we again find the word dyke be transliter from the latin script to the devanagari script the ce methodolog on the other hand substitut thi entiti with heejra which stand for transgend peopl in india
31,S3.T3,prompt post the fiscal deficit in previou govern wa at an alarm level of 33 per cent the situat wa that no one wa readi to give loan to up becaus no one give loan at a loss of more than 3 percent yogi ji reduc thi deficit and brought it down to the level of 297 per cent post slogan of pakistan indabad rais in mumbai slogan of pakistan zindabad kept be rais in front of party8217 quota minist in thackeray govern abu azmi respect sir it is a request that these pakistan lover traitor traitor should be badli thrown out of the countri post if thi is the condit today then tomorrow it will definit be seen in up and delhi rather peopl from everi corner of the countri are settl in delhi from where will they show their paper post peopl call yogi govern as casteist it is veri shame that they have alway run govern for the health of one cast post in the case of rape and subsequ brutal murder of dr priyanka reddi in hyderabad india8217 socal secularist are refrain from rais their voic today becaus the accus muslim and the local asaduddin owaisi is it not enough to protest post gener post do you know that india wa go to becom a world leader but by ruin it by peopl like modiji we had becom the poorest nation in the world,tabl 3 prompt engin to gener the hate post use the bloom languag model,thi method is differ from the previou two method as it depend onli on a sampl of hate post in the target context which are use as fewshot exampl to help the languag model gener similar post to gener hate speech post we pass a few post from the target context and prompt the languag model to gener the sixth post as shown in tabl 3 the entir prompt is a string of devanagari text given as input to the bloomlm and then it is ask to predict the follow post from the input which it predict in devanagari infer from our empir analys we chose the number of input exampl as 5 set a repetit penalti of 2 to prevent postrepetit appli earli stop with sampl and specifi a maximum token length of 100 word for the gener prompt
32,S4.T4,train set indomain test set outofdomain test set nonhat hate nonhat hate nonhat hate english 5936 hindi 3050 478 277 133 1753 1017 vietnames 19886 2556 4344 642,tabl 4 distribut of nonhat and hate post in differ data sourc,for hindi we use the dataset curat by bhardwaj et al 2020 and for vietnames we use the dataset curat by luu et al 2021 tabl 4 show the distribut of the hate and nonhat post in each of the dataset sinc we onli use hate post from english we report onli the amount of hate post avail in english as illustr in tabl 4 the number of hate post wa the least in the hindi dataset henc we keep 450 post as the upper limit for our data in the lowresourc languag use a fewshot train setup we gradual augment the hate post in the lowresourc languag with synthet hate post
33,S4.T5,s no model type origin hate post synthet hate post mean macro f1 h mean macro f1 v 1 base 100 0 8446 6429 2a allorig 150 0 8576 6658 2b mt 100 50 8469 6366 2c ce 100 50 8562 6325 2d bloomlm 100 50 8535 6347 3a allorig 200 0 8685 6610 3b mt 100 100 8407 6333 3c ce 100 100 8452 6304 3d bloomlm 100 100 8491 6448 4a allorig 250 0 8677 6689 4b mt 100 150 8432 6382 4c ce 100 150 8554 6194 4d bloomlm 100 150 8513 6370 5a allorig 300 0 8771 6744 5b mt 100 200 8580 6248 5c ce 100 200 8506 6226 5d bloomlm 100 200 8525 6374 6a allorig 350 0 8693 6503 6b mt 100 250 8562 6216 6c ce 100 250 8591 6178 6d bloomlm 100 250 8425 6379 7a allorig 400 0 8848 6522 7b mt 100 300 8405 6334 7c ce 100 300 8584 6106 7d bloomlm 100 300 8492 6392 8a allorig 450 0 8761 6331 8b mt 100 350 8465 6200 8c ce 100 350 8599 6325 8d bloomlm 100 350 8468 6423,tabl 5 comparison of contextu entiti substitut and bloom languag model synthet data gener methodolog vs machin translat synthet data gener methodolog for hindi h and vietnames v for each run we use a constant 450 nonhat post,to test the effect of machinetransl mt exampl for augment we increas the baselin train data by ad 50 origin hate post to the train data and compar the result with a train data setup of the baselin of 100 origin hate 50 new machinetransl hate post we iter execut thi increment of origin vs synthet for seven step until the hatefulnonh split is even 5050 tabl 5 show the macro f1 score of model train on the baselin and subsequ synthet increment the allorigin model allorig act as an upper limit to the perform if we had a complet set of origin hate post and did not need to perform data augment our result show that in the ideal case where addit origin hate post are ad to the train data the model perform attain f1 score up to 8848 allorig 7a and 6744 allorig 5a compar to the initi baselin score of 8446 and 6429 for hindi and vietnames respect we follow the setup describ in 43 to compar the baselin result with synthet exampl gener from the origin english hate speech dataset use our contextu entiti substitut method ce describ in 33 similarli we use 450 nonhat post and iter augment the origin hate post in hindi and vietnames with synthet ce post in increment of 50 tabl 5 show the compar result between the contextu entiti substitut method ce vs the mt and allorig model for hindi and vietnames
34,S5.T6,prompt target group muslim post if you are a muslim you are a crimin end of the matter target group muslim post there is onli one similar between kashmir and palestin muslim are be openli oppress in both the place and the world is silent target group muslim post the video of slogan of pakistan zindabad in the presenc of samajwadi parti mla abu asim azmi in shramik special train run from wadala in mumbai is go viral target group muslim post if you are a muslim then you are a crimin and if you are antibjp then you are a straight terrorist target group muslim post in the case of rape and subsequ brutal murder of dr priyanka reddi in hyderabad india8217 socal secularist are refrain from rais their voic today becaus the accus muslim and the local asaduddin owaisi is it not enough to protest target group muslim post gener post if you are a muslim or not a hindu you will have to leav the countri,tabl 6 target groupspecif prompt engin to gener target hate post use the bloom languag model,the bloom larg languag model use in thi work ha been train on 46 natur languag scao et al 2022 and our find show that the level of languag represent can play a role in the qualiti of the sentenc gener by the model for instanc sinc vietnames had twice the size of hindi languag data in the bloom pretrain dataset we observ that the qualiti of synthet data gener in vietnames is better than for hindi as model includ more divers languag in their pretrain setup these method can be extend to newer context futur work can also explor the potenti benefit of further finetun the languag model on data from the languag of interest prior to gener synthet exampl furthermor our find motiv the need for addit work in prompt engin for synthet hate speech data our initi experiment with targetguid prompt see tabl 6 seek to gener hate speech target a specif group thi approach could potenti improv the qualiti of synthet data gener to train machin learn model
35,S2.T1,survey paper literatur timelin blockchain and fl background propos gener architectur privaci attack in bcfl privaci preserv approach in bcfl applic c1subscriptc1c1 c2subscriptc2c2 c3subscriptc3c3 c4subscriptc4c4 c5subscriptc5c5 c6subscriptc6c6 c7subscriptc7c7 ali et al5 20192020 nguyen et al6 20192020 huang et al9 20192020 li et al4 20202021 qu et al1 20192021 issa et al7 20192021 zhu et al2 20192021 chhetri et al 11 20192022 qammar et al 8 20192022 our work 20182023,tabl 1 summari of relat survey and their signific contribut to our work specif focus on privaci attack and privaci preserv approach in bcfl,tabl 1 summar the main topic address by relat survey and make a comparison with our contribut as visibl from the tabl none of the exist contribut cover the topic present in the survey or consid paper in the tempor span we analyz tabl 2 outlin the distribut of articl specifi the number of articl consid in each categori relat to exist survey and our work along with the correspond public year tabl 10 summar the main aim of the paper analyz in thi section tabl 11 summar the main aim of the paper analyz in thi section in summari we analyz 102 articl publish in renown intern confer journal symposium and workshop from 2018 to 2023 and focus on privaci aspect of blockchainen fl tabl 12 repres a quantit overview of the review research paper divid into topic wherea figur 11 pictur the analyz number of articl publish per year in the refer period
36,S3.T2,survey paper privaci attack in bcfl privaci preserv approach in bcfl applic c1subscriptc1c1 c2subscriptc2c2 c3subscriptc3c3 c4subscriptc4c4 c5subscriptc5c5 c6subscriptc6c6 c7subscriptc7c7 ali et al5 3 20182020 nguyen et al6 6 4 5 20202021 20192020 20182021 huang et al9 4 4 2021 20202021 li et al4 1 8 20192021 20182021 qu et al1 16 7 20192021 20192021 issa et al7 8 20192021 zhu et al2 5 2 20192020 20192021 chhetri et al 11 5 5 7 20202022 20192021 20192021 qammar et al 8 4 1 2 20202022 2022 20192022 our work 2 14 19 14 5 17 9 4 31 20202023 20182023 20192023 20212023 20192023 20182023 20202022 20212023 20182023,tabl 2 number of articl compar with exist survey and our work specif focus on privaci attack and privaci preserv in bcfl,tabl 1 summar the main topic address by relat survey and make a comparison with our contribut as visibl from the tabl none of the exist contribut cover the topic present in the survey or consid paper in the tempor span we analyz tabl 2 outlin the distribut of articl specifi the number of articl consid in each categori relat to exist survey and our work along with the correspond public year
37,S4.T3,acronym descript bcfl blockchainen fl dp differenti privaci fl feder learn he homomorph encrypt iid independ and ident distribut ipf interplanetari file system ml machin learn smpc secur multiparti comput iot internet of thing,tabl 3 list of the acronym use in the paper,thi section provid the essenti background inform to contextu our survey in particular we describ the main concept relat to fl it workflow and the princip categor and challeng of such an approach moreov we illustr the fundament notion about blockchain tabl 3 summar the acronym use in the paper
38,S7.T4,refer paper cdp ldp exponenti distribut gaussian distribut laplac distribut random distribut paramet 41 ldp local gradient 79 82 87 ldp local weight 80 85 86 ldp local model 24 42 91 ldp local gradient 81 ldp local weight 45 83 88 ldp local weight 89 93 ldp local gradient 90 cdp global gradient 92 ldp global gradient,tabl 4 privaci preserv in bcfl use use differenti privaci approach,in 45 explor a permiss blockchain system with the proof of train qualiti poq consensu process optim node comput resourc dure data model train the laplac mechan enhanc local data model privaci and improv comput resourc util and effici of the datashar scheme chen et al 92 introduc an effici privacypreserv and traceabl fl framework with minim overhead and high perform their innov approach incorpor hierarch aggreg feder learn involv subaggreg and aggreg and ad nois to local model paramet use random seed the subaggreg can reconstruct pseudorandom weight with user id or decrypt subtract paramet after aggreg and encrypt the paramet the subaggreg forward them to the aggreg which decrypt and combin paramet subtract userad nois and obtain global paramet sent to the server in 93 primodchain a special fl architectur for industri internet of thing network incorpor a differenti privaci approach to add artifici nois to local gener model which reduc the risk of the identif of individu record the secur transfer of the global ml model is facilit through smart contract ensur consensu on updat verif and transpar in fl updat simul in python evalu primodchain feasibl in term of secur privaci safeti reliabl and resili highlight it innov featur in promot unbias and errorfre data manipul for enhanc fl safeti and reliabl against extern data threat the framework 92 93 integr fl with blockchain and ipf guarante the traceabl and immut of model paramet particularli suitabl for industri internet of thing scenario tabl 4 comprehens outlin the strategi employ for privaci preserv in bcfl by appli the differenti privaci approach the tabl detail the divers method and techniqu thi privaci framework util to ensur robust privaci measur in fl on the blockchain
39,S7.T5,refer paper encrypt type privaci scheme paramet attack against adversari 97 phe addit local gradient i server 98 phe paillier addit local weight iampp hbc amp malc 100 fhe bcp local gradient iampp hbc 51 101 fhe ckk local gradient i server amp malc 53 fe nddfe local weight i 104 pfe paillier addit local gradient global gradient transact hack i impersonationamp 51 attack insid or outsid 61 phe distribut elgam local gradient gradient invers hbc client 108 encrypt proxi reencrypt ecc ssch local weight i hbc client 105 encrypt proxi reencrypt global weight i 46 pfe paillier additiveampproxi reencrypt local gradient i shbc 50 99 phe paillier addit local gradient iampp insideroutsid 107 fhe dijkgentryhalevivaikutanathan local modelamp global model iampp malchbc amp shbc,tabl 5 privaci preserv in bcfl use he,tabl 5 offer a comprehens summari of privaci preserv within bcfl util homomorph encrypt with divers approach awan et al 46 enhanc the paillier cryptosystem incorpor featur like addit homomorph encrypt and proxi reencrypt to safeguard individu local model updat in fl their approach address issu such as random client dropout through asynchron record on the blockchain integr bcfl mitig multiparti dropout and enhanc transpar verifi and data privaci protect
40,S7.T6,approach refer paper client data contribut 24 89 98 99 119 120 116 117 auction theorybas scheme 121 122 123 mechan designbas scheme 118 contracttheoret approach 29 game theorybas scheme 86 smart contractbas scheme 50 51 124,tabl 6 privaci preserv in bcfl use reward driven approach,in 86 the studi propos an incent mechan for a privacypreserv datashar system formul it as a twostag stackelberg game the mechan is design to maxim the util of data request and two type of data provid consid their distinct role and contribut the noncoop natur of the interact justifi the choic of a stackelberg game model the hierarch relationship between request and provid and the onetomani datashar structur tabl 6 present an overview of privaci preserv in bcfl by enforc a rewarddriven approach use variou methodolog
41,S7.T7,refer paper privaci scheme use paramet attack against adversari 127 he amp smpc local gradient i malc malici miner 108 he amp smpc local model i hbc client 125 he amp smpc local model iampp hbc 126 he amp smpc local model i malc 119 dp amp smpc local gradient byzantin and sybil attack model invers i model theft attack hbc hbcc malc 128 dp amp smpc local gradient i hbc malc 129 dp amp he local weight model extract attack model revers attack 130 dpamp he amp smpc local gradient collus attack sybil attack i amp p hbcc malc 131 ss combin paillier and elgam base scheme local gradient i intern or extern adversari,tabl 7 privaci preserv in bcfl use hybrid privaci approach,sever studi indic that integr divers privaci approach help mitig secur and privaci attack in bcfl thi section explor hybrid approach that provid privaci by combin variou privacypreserv techniqu for instanc integr differenti privaci for initi data aggreg and appli homomorph encrypt could yield a more resili solut the amalgam of he and smpc in bcfl markedli enhanc the confidenti and privaci of the fl process within a transpar and decentr blockchain framework thi integr foster trust and secur in data share and model train as exemplifi by 125 and 126 he enabl comput on encrypt data preserv the privaci of individu contribut while smpc ensur secur collabor among particip without expos their raw data tabl 7 summar privaci preserv in bcfl by employ variou privaci approach in the privacyfocus collabor train propos by zhu et al 127 particip protect their local gradient use the paillier cryptosystem with threshold decrypt and a secur multiparti aggreg algorithm thi method ensur data privaci dure collabor train by transform gradient into a secur form
42,S7.T8,techniqu refer paper privaci approach differenti privaci 24 41 42 45 63 69 79 80 81 82 83 84 85 86 87 88 89 91 92 93 homomorph encrypt 50 61 68 97 98 99 100 102 104 107 126 53 secur multiparti comput 46 48 110 111 114 reward driven approach 29 42 64 66 73 75 80 86 87 89 90 98 99 116 117 121 122 119 123 hybrid privaci approach 125 126 119 127 129 108 131 128 130 consensu protocol pow 63 64 67 73 80 81 83 87 89 104 107 114 po 53 dpo 41 66 pbft 29 43 50 75 76 79 86 98 125 130 123 poa 69 85 poq 45 pof 69 82 126 128 poc 102 pofl 126 raft 125 129 condbft 97 algorand 24 99 117 blockchain type public 41 43 67 68 69 81 82 83 85 93 117 121 129 privat 101 113 permiss 61 66 70 74 108 119 consortium 24 29 50 63 72 75 79 80 82 86 97 98 100 104 116 122 123 125 131 blockchain platform ethereum 46 51 61 68 85 90 93 101 104 108 110 117 121 127 hyperledg fabric 63 70 72 75 98 100 116 125 130 custom blockchain 89 blockchain storag offchain 24 43 46 50 51 63 68 69 84 85 86 88 92 93 97 102 121 125 128 onchain 61 72 73 75 81 83 86 91 100 102 104 data distribut iid 24 41 42 43 53 63 66 68 69 72 73 76 81 83 86 88 89 92 93 99 97 100 101 113 116 117 119 126 128 noniid 70 75 76 82 87 90 98 116 117 119 120 127,tabl 8 summari of studi on integr of blockchain enabl feder learn elucid their privaci preserv method type of blockchain use the blockchain framework integr within feder learn system consensu algorithm employ block storag and data distribut use,tabl 8 elucid the overview of studi specif in bcfl highlight their privaci approach blockchain type the blockchain framework util within feder learn system consensu algorithm and block storag techniqu
43,S9.T9,refer paper aim type of devic gener data type of data singh et al64 privat storag health alert iot sensor weight meter blood pressur glucos meter insulin pump temperatur heartbeat blood pressur electrocardiograph kalapaak et al113 polap et al 144 privacypreserv analysi from multipl hospit internet of medic thing devic medic dataset lakhan et al143 fraud analysi and data valid internet of medic thing iomt devic medic dataset kumar et al67 diagnosi of covid19 ct devic lung comput tomographi scan samuel et al145 privacypreserv diagnosi and dissemin of covid19 internet of medic thing iomt devic medic dataset hai et al146 ehr privat storag recommend for tailor treatment manual data insert electron health record ehr alzubi er al 105 abnorm user identif and databas access manual data insert electron health record ehr chen et al 53 privacypreserv imag detect and incent mechan manual data insert chest xray imag liu et al 147 privacypreserv imag detect and incent mechan manual data insert skin cancer imag lo et al 52 diagnosi of covid19 and incent mechan manual data insert xray imag,tabl 9 healthcar applic,tabl 9 show the main differ among the paper analyz in thi section in term of goal type of involv devic and type of healthcar data
44,S9.T10,refer paper main aim hamouda et al119 privacypreserv fl and intrus detect yazdinejad et al149 friha et al 154 privacypreserv anomali detect lu et al45 chen et al92 jia et al129 privacypreserv data share yang et al 150 privacypreserv credit data share zang et al151 privacypreserv devic failur detect singh et al152 privacypreserv fl,tabl 10 industri 50 applic,tabl 10 summar the main aim of the paper analyz in thi section
45,S9.T11,refer paper main aim smahi et al157 lu et al 41 wang et al 98 privacypreserv and verifi fl qi et al79 privacypreserv traffic flow predict pokhrel et al158 privacypreserv distribut fl chai et al159 privacypreserv knowledg share liu et al160 moulahi et al161 privacypreserv and cooper intrus detect akram et al164 privacypreserv malici drone detect,tabl 11 internet of vehicl applic,tabl 11 summar the main aim of the paper analyz in thi section
46,S11.T12,topic amount of paper bcfl architectur 16 attack to privaci in bcfl 2 bcfl architectur for secur and privaci protect 14 bcfl with differenti privaci approach 19 bcfl with he approach 14 bcfl with smpc approach 5 bcfl with rewarddriven approach 17 bcfl with hybrid privaci approach 9 crosschain fl approach for privaci 4 applic of bcfl for privaci 31,tabl 12 amount of paper analyz per topic,in summari we analyz 102 articl publish in renown intern confer journal symposium and workshop from 2018 to 2023 and focus on privaci aspect of blockchainen fl tabl 12 repres a quantit overview of the review research paper divid into topic wherea figur 11 pictur the analyz number of articl publish per year in the refer period
47,A2.T2,question in german question in english data split 6040 num sampl sollen sich die versicherten st228rker an den gesundheitskosten beteiligen zb erh246hung der mindestfranchis should insur person contribut more to health cost eg increas in the minimum deduct favortrain 146 againsttrain 154 favortest87 againsttest 113 total 500 bef252rworten sie ein generel werbeverbot f252r alkohol und tabak do you support a gener ban on advertis alcohol and tobacco favortrain 19 againsttrain 44 favortest 10 againsttest 33 total 106 soll ein impfpflicht f252r kinder gem228ss dem schweizerischen impfplan eingef252hrt werden should compulsori vaccin of children be introduc in accord with the swiss vaccin schedul favortrain 34 againsttrain 83 favortest 21 againsttest 58 total 196 soll die aufenthaltserlaubni f252r migrantinnen au nichteueftastaaten schweizweit an die erf252llung verbindlich integrationsvereinbarungen gekn252pft werden should the resid permit for migrant from noneuefta countri be link to the fulfil of bind integr agreement throughout switzerland favortrain 68 againsttrain 40 favortest 34 againsttest 39 total 181 soll der bund erneuerbar energien st228rker f246rdern should the feder govern promot renew energi more favortrain 111 againsttrain 50 favortest 70 againsttest 38 total 269,tabl 2 chosen question for stanc detect in german and their english translat with class split,we present the 5 chosen question for our experi in tabl 2 we show the origin question in german and their correspond english translat by the translat model furthermor we also show the 60 40 traintest split for each question
48,S4.T1,config dataset manual label dchsubscript119863chdtextch synth label dnchsubscript119863nchdtextnch synth aug dsynthsubscript119863synthdtextsynth true label true label synth 10003 sqbc 10003 sqbc synth 10003 10003 sqbc 10003 10003 sqbc synth 10003 10003 10003 random synth 10003randomli select 10003,tabl 1 synth synthet data aug augment we compar differ variant of activ learn with synthet data,a summari of all the variant can be found in tabl 1 to studi how the number of label sampl impact the perform we compar all method for vari valu of kkappa ie k01251020300125102030kappain0125102030 the larger the valu of kkappa the fewer sampl are chosen for dchsubscriptdchmathcaldtextch the number of chosen sampl determin by kkappa is also use for the random synth variant as perform metric we use the accuraci and the f1score of the stanc detect model we averag the perform over 5 chosen question in the xstanc test set
49,S2.T1,mechan 937937omega x119883x descript y119884i linear program uniform sampl theorem160b1 018230t87221psuperscript018230119905111990101t1p o820384978203log8289849711987484978497omathcalflogmathcalf algorithm1601 is run with 956120583mu uniform o8203log828984971198748497ologmathcalf 8497o8203937184971198749371mathcalfoomega1 sampl from a privat histogram theorem160iii1 018230t87221psuperscript018230119905111990101t1p o820384978203log8289849711987484978497omathcalflogmathcalf algorithm1601 is run with 956120583mu privat estim from the empir measur 957120584nu use the perturb histogram method o8203log828984971198748497ologmathcalf 8497o820311849711987411mathcalfo11 sampl use kernel densiti estim theorem160iv1 01psuperscript0111990101p o820384978203log8289849711987484978497omathcalflogmathcalf algorithm1601 is run with 956120583mu privat estim from the empir measur 957120584nu use kernel densiti estim o8203log828984971198748497ologmathcalf 8497o820311849711987411mathcalfo11,tabl i summari of main result,on the other hand choos mmu to be uniform may not be optim furthermor in the continu case we cannot upperbound the renyi condit number with the same techniqu tabl i compar the privat synthet data gener method studi in our paper
50,S5.T1,cifar10 domainnet xgluenc qa r1r1r1 r2r2r2 r1r1r1 r2r2r2 r1r1r1 r2r2r2 r1r1r1 r2r2r2 full 9543 9027 8211 6598 top 9309 9361 8786 8832 6986 7705 6390 6444 bottom 2738 3281 1380 1863 4043 4060 6418 6460 both 9496 8548 7465 6441 snr 9447 9049 8638 8767 6911 7992 6380 6458 rgn 9269 8948 8880 8719 7406 7948 6373 6470 our 9547 9605 8937 8964 7495 8039 6471 6503,tabl 1 test accuraci on both imag and text dataset where each client select rrr layer for finetun the best result are highlight in bold,we first consid client with ident comput resourc ie client select the same number of layer ririnformulaesequencesubscriptrirforallinrirforal iinmathcaln for finetun the experiment result are shown in tabl 1 from the model perform accuraci on the cifar10 and domainnet dataset we observ that the propos strategi demonstr notabl superior over partial layer finetun baselin specif finetun onli one layer of the clip model achiev compar perform with tune the entir model sinc the clip model is suffici power to extract use featur and thu requir less train on taskspecif data thi also reveal that select layer finetun well meet the perform requir within the resourc of client
51,S5.T2,cifar10 domainnet xgluenc qa full 9543 9027 8211 6598 top 9122 8929 7817 6410 bottom 2738 2310 5092 6451 both 8991 8627 7301 6464 snr 7572 8734 7824 6451 rgn 9383 8819 7936 6456 our 9557 8939 8018 6580,tabl 2 test accuraci on both imag and text dataset where client have differ resourc ri14subscriptri14riin14 the best result are highlight in bold,
52,A3.SS0.SSS0.Px4.tab1,comput cost tflop ratio transmiss mbit ratio full model finetun 847 100 2811 100 propos method 224 151 26 17 234 833 propos sel period2 146 075 17 95 234 833 propos sel batch1 099 030 12 34 234 833,,these find highlight that the layer select strategi that minim both term can achiev better converg of the global model howev minim these two term simultan may lead to contradictori select decis moreov the optim solut for minim the sum of et1et2subscriptet1subscriptet2mathcalet1mathcalet2 is inaccess sinc the groundtruth valu are intract in practic to resolv these challeng in the next subsect we propos a strategi to adapt select layer for client and promot the learn perform of the global model we first consid client with ident comput resourc ie client select the same number of layer ririnformulaesequencesubscriptrirforallinrirforal iinmathcaln for finetun the experiment result are shown in tabl 1 from the model perform accuraci on the cifar10 and domainnet dataset we observ that the propos strategi demonstr notabl superior over partial layer finetun baselin specif finetun onli one layer of the clip model achiev compar perform with tune the entir model sinc the clip model is suffici power to extract use featur and thu requir less train on taskspecif data thi also reveal that select layer finetun well meet the perform requir within the resourc of client the follow tabl compar the comput cost in tflop and commun cost in transmit mbit of the propos method with the full model finetun the number in bracket repres the cost of the layer select strategi the result show that the propos method significantli reduc the comput cost and commun cost besid the layer select strategi take as low as 34 of the comput cost
53,A4.T3,dataset data type noniid type partit cifar10 imag label skew d i r 01dir01dir01 domainnet imag featur skew domain xgluenc text featur skew domain qa text featur skew domain,tabl 3 summari of dataset,
54,A4.T4,dataset cifar10 domainnet xgluenc qa model clip clip xlmrobertabas llama27b batch size 64 64 32 16 learn rate 001 001 001 2e5 local step 5 1 1 1 total epoch 50 30 20 2 llambda 1000 10 10 5 the local step 1 mean client iter all train sampl ie one singl local train epoch,tabl 4 implement detail,
55,S3.T1.1.1,model r101 fid8195mmd r5023 fid8195mmd r50 fid8195mmd imag mmd ms ssim vaegan 0032 0020 0081 0046 0400 0210 131925 091 945120572alphaitalic945wgan 0032 0020 0060 0040 0480 0250 203999 088 hagan 0035 0018 0079 0040 0080 0043 759363 078 monaildm 0300 0150 1420 0690 1870 0940 3314614 058 medsyn 0012 0010 0057 0037 0044 0034 217897 088 cdpm 0019 0014 0140 0082 0130 0081 586022 075,tabl 1 evalu 400 mri of each approach use common metric other than for msssim lower score are consid better with the best score be in bold and the second best underlin for msssim the score closest to one record on the real mri of the test set ie 088 is consid the best,as exampl of metric commonli use for assess imag we appli fid mmd and msssim to the real and gener mri for each model fid and mmd compar the distribut of real and synthet mri in a lower dimension featur space to do so we map all mri into thi space via a pretrain encod we then document the high impact of the encod by recod their score with respect to three implement of resnet 8ie resnet50 r50 anoth version of resnet50 train on 23 dataset r5023 and resnet101 r101 5 accord to tabl 1 the lowest fid and mmd score for vaegan and aalphaitalicawgan the two model with the lowest qualiti mri base on visual inspect are record with r101 follow by r5023 and r50 rel to the other method their score for r50 were onli better than monaildm howev aalphaitalicawgan produc the secondbest score when the encod is r5023 moreov the two model produc the best ie lowest mmd among all the approach when comput in the imag space imag mmd overal we conclud from these result that even the worst qualiti imag base on visual inspect can produc the best score
56,S3.T1.1.1.2.1.1.1,model,tabl 1 evalu 400 mri of each approach use common metric other than for msssim lower score are consid better with the best score be in bold and the second best underlin for msssim the score closest to one record on the real mri of the test set ie 088 is consid the best,as exampl of metric commonli use for assess imag we appli fid mmd and msssim to the real and gener mri for each model fid and mmd compar the distribut of real and synthet mri in a lower dimension featur space to do so we map all mri into thi space via a pretrain encod we then document the high impact of the encod by recod their score with respect to three implement of resnet 8ie resnet50 r50 anoth version of resnet50 train on 23 dataset r5023 and resnet101 r101 5 accord to tabl 1 the lowest fid and mmd score for vaegan and aalphaitalicawgan the two model with the lowest qualiti mri base on visual inspect are record with r101 follow by r5023 and r50 rel to the other method their score for r50 were onli better than monaildm howev aalphaitalicawgan produc the secondbest score when the encod is r5023 moreov the two model produc the best ie lowest mmd among all the approach when comput in the imag space imag mmd overal we conclud from these result that even the worst qualiti imag base on visual inspect can produc the best score
57,S3.T1.1.1.2.1.2.1,r101 fid8195mmd,tabl 1 evalu 400 mri of each approach use common metric other than for msssim lower score are consid better with the best score be in bold and the second best underlin for msssim the score closest to one record on the real mri of the test set ie 088 is consid the best,as exampl of metric commonli use for assess imag we appli fid mmd and msssim to the real and gener mri for each model fid and mmd compar the distribut of real and synthet mri in a lower dimension featur space to do so we map all mri into thi space via a pretrain encod we then document the high impact of the encod by recod their score with respect to three implement of resnet 8ie resnet50 r50 anoth version of resnet50 train on 23 dataset r5023 and resnet101 r101 5 accord to tabl 1 the lowest fid and mmd score for vaegan and aalphaitalicawgan the two model with the lowest qualiti mri base on visual inspect are record with r101 follow by r5023 and r50 rel to the other method their score for r50 were onli better than monaildm howev aalphaitalicawgan produc the secondbest score when the encod is r5023 moreov the two model produc the best ie lowest mmd among all the approach when comput in the imag space imag mmd overal we conclud from these result that even the worst qualiti imag base on visual inspect can produc the best score
